,log_time_allowed,log_goal,staff_pick,cat_slug_art/ceramics,cat_slug_art/conceptual art,cat_slug_art/digital art,cat_slug_art/illustration,cat_slug_art/installations,cat_slug_art/mixed media,cat_slug_art/painting,cat_slug_art/performance art,cat_slug_art/public art,cat_slug_art/sculpture,cat_slug_art/textiles,cat_slug_art/video art,cat_slug_comics,cat_slug_comics/anthologies,cat_slug_comics/comic books,cat_slug_comics/events,cat_slug_comics/graphic novels,cat_slug_comics/webcomics,cat_slug_crafts,cat_slug_crafts/candles,cat_slug_crafts/crochet,cat_slug_crafts/diy,cat_slug_crafts/embroidery,cat_slug_crafts/glass,cat_slug_crafts/knitting,cat_slug_crafts/pottery,cat_slug_crafts/printing,cat_slug_crafts/quilts,cat_slug_crafts/stationery,cat_slug_crafts/weaving,cat_slug_crafts/woodworking,cat_slug_dance,cat_slug_dance/performances,cat_slug_dance/residencies,cat_slug_dance/spaces,cat_slug_dance/workshops,cat_slug_design,cat_slug_design/architecture,cat_slug_design/civic design,cat_slug_design/graphic design,cat_slug_design/interactive design,cat_slug_design/product design,cat_slug_design/typography,cat_slug_fashion,cat_slug_fashion/accessories,cat_slug_fashion/apparel,cat_slug_fashion/childrenswear,cat_slug_fashion/couture,cat_slug_fashion/footwear,cat_slug_fashion/jewelry,cat_slug_fashion/pet fashion,cat_slug_fashion/ready-to-wear,cat_slug_film & video,cat_slug_film & video/action,cat_slug_film & video/animation,cat_slug_film & video/comedy,cat_slug_film & video/documentary,cat_slug_film & video/drama,cat_slug_film & video/experimental,cat_slug_film & video/family,cat_slug_film & video/fantasy,cat_slug_film & video/festivals,cat_slug_film & video/horror,cat_slug_film & video/movie theaters,cat_slug_film & video/music videos,cat_slug_film & video/narrative film,cat_slug_film & video/romance,cat_slug_film & video/science fiction,cat_slug_film & video/shorts,cat_slug_film & video/television,cat_slug_film & video/thrillers,cat_slug_film & video/webseries,cat_slug_food,cat_slug_food/bacon,cat_slug_food/community gardens,cat_slug_food/cookbooks,cat_slug_food/drinks,cat_slug_food/events,cat_slug_food/farmer's markets,cat_slug_food/farms,cat_slug_food/food trucks,cat_slug_food/restaurants,cat_slug_food/small batch,cat_slug_food/spaces,cat_slug_food/vegan,cat_slug_games,cat_slug_games/gaming hardware,cat_slug_games/live games,cat_slug_games/mobile games,cat_slug_games/playing cards,cat_slug_games/puzzles,cat_slug_games/tabletop games,cat_slug_games/video games,cat_slug_journalism,cat_slug_journalism/audio,cat_slug_journalism/photo,cat_slug_journalism/print,cat_slug_journalism/video,cat_slug_journalism/web,cat_slug_music,cat_slug_music/blues,cat_slug_music/chiptune,cat_slug_music/classical music,cat_slug_music/comedy,cat_slug_music/country & folk,cat_slug_music/electronic music,cat_slug_music/faith,cat_slug_music/hip-hop,cat_slug_music/indie rock,cat_slug_music/jazz,cat_slug_music/kids,cat_slug_music/latin,cat_slug_music/metal,cat_slug_music/pop,cat_slug_music/punk,cat_slug_music/r&b,cat_slug_music/rock,cat_slug_music/world music,cat_slug_photography,cat_slug_photography/animals,cat_slug_photography/fine art,cat_slug_photography/nature,cat_slug_photography/people,cat_slug_photography/photobooks,cat_slug_photography/places,cat_slug_publishing,cat_slug_publishing/academic,cat_slug_publishing/anthologies,cat_slug_publishing/art books,cat_slug_publishing/calendars,cat_slug_publishing/children's books,cat_slug_publishing/comedy,cat_slug_publishing/fiction,cat_slug_publishing/letterpress,cat_slug_publishing/literary journals,cat_slug_publishing/literary spaces,cat_slug_publishing/nonfiction,cat_slug_publishing/periodicals,cat_slug_publishing/poetry,cat_slug_publishing/radio & podcasts,cat_slug_publishing/translations,cat_slug_publishing/young adult,cat_slug_publishing/zines,cat_slug_technology,cat_slug_technology/3d printing,cat_slug_technology/apps,cat_slug_technology/camera equipment,cat_slug_technology/diy electronics,cat_slug_technology/fabrication tools,cat_slug_technology/flight,cat_slug_technology/gadgets,cat_slug_technology/hardware,cat_slug_technology/makerspaces,cat_slug_technology/robots,cat_slug_technology/software,cat_slug_technology/sound,cat_slug_technology/space exploration,cat_slug_technology/wearables,cat_slug_technology/web,cat_slug_theater,cat_slug_theater/comedy,cat_slug_theater/experimental,cat_slug_theater/festivals,cat_slug_theater/immersive,cat_slug_theater/musical,cat_slug_theater/plays,cat_slug_theater/spaces,country_Aus,country_CAmerica,country_Euro,country_NAmerica
0,5.955837369464831,8.699514748210191,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4.04305126783455,8.411832675758411,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3.5553480614894135,5.703782474656201,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4.3694478524670215,6.551080335043404,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3.4011973816621555,6.907755278982137,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3.9512437185814275,6.214608098422191,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3.5553480614894135,9.433483923290392,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,3.713572066704308,10.714417768752456,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,4.290459441148391,7.473069088032197,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,3.9889840465642745,9.210340371976184,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
